MBTI,Type Name,Description
ISTJ,현실주의자,현실주의자는 사실을 중시하는 믿음직한 성격 유형입니다.
ISFJ,수호자,수호자는 주변 사람을 보호할 준비가 되어 있는 헌신적이고 따뜻한 성격 유형입니다.
INFJ,옹호자,"옹호자는 차분하고 신비한 분위기를 풍기는 성격으로, 다른 사람에게 의욕을 불어넣는 이상주의자입니다."
INTJ,전략가,전략가는 모든 일에 계획을 세우며 상상력이 풍부한 성격 유형입니다.
ISTP,장인,"장인은 대담하면서도 현실적인 성격으로, 모든 종류의 도구를 자유자재로 다루는 성격 유형입니다."
ISFP,모험가,모험가는 항상 새로운 경험을 추구하는 유연하고 매력 넘치는 예술가입니다.
INFP,중재자,중재자는 항상 선을 행할 준비가 되어 있는 부드럽고 친절한 이타주의자입니다.
INTP,논리술사,논리술사는 지식을 끝없이 갈망하는 혁신적인 발명가입니다.
ESTP,사업가,"사업가는 위험을 기꺼이 감수하는 성격으로, 영리하고 에너지 넘치며 관찰력이 뛰어난 성격 유형입니다."
ESFP,연예인,연예인은 즉흥적이고 넘치는 에너지와 열정으로 주변 사람을 즐겁게 하는 성격 유형입니다.
ENFP,활동가,"활동가는 열정적이고 창의적인 성격으로, 긍정적으로 삶을 바라보는 사교적이면서도 자유로운 영혼입니다."
ENTP,변론가,변론가는 지적 도전을 즐기는 영리하고 호기심이 많은 사색가입니다.
ESTJ,경영자,경영자는 사물과 사람을 관리하는 데 뛰어난 능력을 지닌 성격 유형입니다.
ESFJ,집정관,"집정관은 배려심이 넘치고 항상 다른 사람을 도울 준비가 되어 있는 성격으로, 인기가 많고 사교성 높은 마당발입니다."
ENFJ,선도자,선도자는 청중을 사로잡고 의욕을 불어넣는 카리스마 넘치는 지도자입니다.
ENTJ,통솔자,"통솔자는 항상 문제 해결 방법을 찾아내는 성격으로, 대담하고 상상력이 풍부하며 의지가 강력한 지도자입니다."
