Type,Name,Description,Solution
WTIL,엄마껌딱지 겁쟁이형,"새로운 환경이나 사람에게 쉽게 긴장하며 보호자를 안전기준으로 삼는 경향이 있어요. 익숙하지 않은 장소에서는 움직임이 줄어들고 낯선 대상이 다가오면 뒤로 물러나는 모습이 나타납니다. 갑작스러운 소리에도 놀라기 쉬운 소심 기질이 강합니다.","안정감을 최우선으로 해 주세요. 조용한 공간에서 산책을 시작해 천천히 노출 범위를 넓혀 주세요. 억지로 다가가게 하기보단 아이가 스스로 탐색할 시간을 주고 보호자는 차분하게 옆에서 기다려주는 것이 중요합니다."
WTIA,조심스러운 관찰형,"낯선 자극을 바로 받아들이기보단 먼저 관찰하며 상황을 파악하려고 해요. 초반에는 방어적이지만 안전하다고 느끼면 서서히 다가와 관계를 형성합니다. 급한 접근을 부담스러워합니다.","새로운 만남에서는 바로 접촉시키지 말고 거리 유지 시간을 주세요. 아이가 스스로 접근할 때마다 칭찬해 ‘내가 선택할 수 있다’는 경험을 쌓게 하는 것이 좋습니다."
WTEL,초면엔 신중 구면엔 친구형,"처음엔 경계하지만 보호자를 신뢰하고 따르는 성향이 강해요. 익숙해지면 안정적으로 교류할 수 있고, 돌발적인 자극에는 판단 시간이 필요합니다.","새로운 사람이나 강아지를 만날 때 냄새를 맡고 파악할 시간을 주세요. 서두르지 않는 보호자의 태도가 아이에게 안정감을 줍니다."
WTEA,허세부리는 호기심쟁이형,"새로운 자극에 대한 호기심이 크고 자기 영역 의식도 강해요. 처음 보는 상대에게도 적극적이지만 흥분이 오르면 행동이 과해질 수 있습니다.","산책 시 갑작스러운 접촉보단 보호자와 함께 걷기 중심으로 흐름을 잡아 주세요. 흥분이 오르기 전 멈추고 진정하는 루틴을 반복하며 자원(장난감/간식)은 차분할 때에만 보상합니다."
WNEL,까칠한 지킬앤하이드형,"익숙한 공간에서는 편안하지만, 간섭이나 예기치 않은 자극에는 예민하게 반응할 수 있어요. 몸을 만질 때 특정 부위에서 민감함이 드러날 수 있습니다.","접촉은 아이의 신호를 먼저 확인하며 진행해야 합니다. ‘엎드려-기다려’ 같은 진정 루틴을 안정된 환경에서 연습하면 낯선 상황에서 감정 조절이 쉬워집니다."
WNIA,선 긋는 외톨이 야생견형,"독립적인 성향이 강하고 혼자 있는 시간이 편합니다. 낯선 대상과의 접촉은 회피하거나 경계할 수 있으며, 원치 않는 상황에서는 명확한 거부 표현이 나타납니다.","억지로 교류시키기보다 보호자와 함께 하는 활동으로 관계 자원을 쌓아 주세요. 케어 과정은 짧게-멈추기-보상 방식으로 단계적 접근이 효과적입니다."
WNIL,패닉에 빠진 극소심형,"낯선 환경에서 불안 감각이 급격히 올라가며 떨림, 회피 등이 나타납니다. 보호자에 대한 안정감 형성이 먼저 필요합니다.","먼저 보호자와의 예측 가능한 루틴을 만드는 것이 핵심입니다. 낯선 환경 노출은 줄이고 짧은 놀이·터치·식사 등을 통해 ‘세상이 안전하다’는 경험을 쌓아 주세요."
WNEA,동네 대장 일진형,"자기 주장이 강하고 상황을 주도하려는 경향이 있어요. 산책 중 마킹, 줄 당김, 짖음 등 영역 반응이 강하게 나타날 수 있습니다.","산책은 보호자가 속도와 방향을 주도하는 것이 중요합니다. 흥분이 올라가기 전 초입 신호에서 멈추는 진정 훈련을 반복하며 외부 접촉은 거리를 두고 단계적으로 진행합니다."
CTEL,신이 내린 반려특화형,"사람과 강아지 모두와 안정적으로 교류할 수 있고 상황을 크게 부담스러워하지 않아요. 균형 잡힌 사회성과 감정 조절 능력이 돋보입니다.","규칙적인 산책과 편안한 상호작용을 꾸준히 유지해 주세요. 보호자가 평온하게 리드하면 아이도 더 안정적으로 반응합니다."
CTEA,인간사회 적응 만렙형,"사람, 강아지, 환경 변화에 대한 적응력이 뛰어나고 학습 속도도 빠릅니다. 다만 에너지가 많아 활동량이 부족하면 산만함이 생길 수 있습니다.","짧고 집중된 훈련을 자주 반복하는 것이 가장 효과적입니다. 산책+놀이+트릭 학습으로 에너지를 적절히 해소해 주세요."
